date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2018-02-21 01:00:00,-14.036363636363635,71.64727272727274,3.321818181818182,278.1818181818182,0.0,0.0,0.0
2018-02-21 02:00:00,-14.416666666666664,73.99916666666667,3.344166666666668,271.6666666666667,0.0,0.0,0.0
2018-02-21 03:00:00,-15.363636363636365,74.84545454545452,2.7590909090909093,257.27272727272725,0.0,0.0,0.0
2018-02-21 04:00:00,-15.633333333333333,75.34833333333331,2.6575,235.0,0.0,0.0,0.0
2018-02-21 05:00:00,-16.01111111111111,77.34888888888891,2.285555555555556,240.0,0.0,0.0,0.0
2018-02-21 06:00:00,-16.66923076923077,77.29692307692306,2.4530769230769227,247.6923076923077,0.0,0.0,0.0
2018-02-21 07:00:00,-17.018181818181816,74.21454545454547,1.9163636363636365,227.27272727272728,0.0,0.0,0.0
2018-02-21 08:00:00,-16.97,72.682,2.315,230.0,22.0,153.0,14.0
2018-02-21 09:00:00,-15.916666666666664,71.56166666666665,2.486666666666667,225.8333333333333,155.0,570.0,43.5
2018-02-21 10:00:00,-13.6625,64.05875,3.21625,212.5,351.0,875.0,55.5
2018-02-21 11:00:00,-12.11,58.739,2.9330000000000003,230.0,484.0,921.0,65.0
2018-02-21 12:00:00,-10.261538461538462,54.33000000000001,3.641538461538462,207.6923076923077,542.0,876.0,76.0
2018-02-21 13:00:00,-9.09,48.376999999999995,3.499,221.0,607.0,916.5,89.0
2018-02-21 14:00:00,-8.088888888888889,44.13,3.1444444444444444,240.0,623.5,994.5,75.0
2018-02-21 15:00:00,-7.8909090909090915,43.37636363636363,3.0863636363636364,232.72727272727272,499.5,873.0,70.0
2018-02-21 16:00:00,-7.022222222222222,43.59333333333333,2.9722222222222228,232.22222222222226,356.5,731.0,71.0
2018-02-21 17:00:00,-7.527272727272727,42.82818181818181,3.9290909090909087,239.0909090909091,208.5,596.0,55.0
2018-02-21 18:00:00,-8.190000000000001,44.73299999999999,2.675,235.0,56.0,245.5,30.0
2018-02-21 19:00:00,-9.04,49.286,2.059,218.0,0.0,0.0,0.0
2018-02-21 20:00:00,-9.818181818181818,55.80272727272727,2.01,183.63636363636363,0.0,0.0,0.0
2018-02-21 21:00:00,-11.345454545454546,62.4809090909091,0.28,29.09090909090909,0.0,0.0,0.0
2018-02-21 22:00:00,-12.58,69.34400000000001,0.308,39.0,0.0,0.0,0.0
2018-02-21 23:00:00,-13.330000000000002,73.119,0.0,0.0,0.0,0.0,0.0
2018-02-22 00:00:00,-14.363636363636365,76.83727272727275,0.14,13.636363636363635,0.0,0.0,0.0
2018-02-22 01:00:00,-15.0,77.309,0.0,0.0,0.0,0.0,0.0
2018-02-22 02:00:00,-15.69090909090909,81.58363636363636,0.0,0.0,0.0,0.0,0.0
